LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
112,27,4,160,0,0,0,0,0,0,0,0,0,0,,45165.7132577893
113,32,4,161,0,0,0,0,0,0,0,0,0,0,,45165.7132577893
114,33,4,162,0,0,0,0,0,0,0,0,0,0,,45165.7132577893
115,34,4,163,0,0,0,0,0,0,0,0,0,0,,45165.7132577893
116,35,4,165,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
117,27,4,166,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
118,33,4,167,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
119,34,4,168,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
120,33,4,169,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
121,34,4,170,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
122,34,4,171,0,0,0,0,0,0,0,0,0,0,,45165.7132578009
123,27,4,172,0,0,0,0,0,0,0,0,0,0,,45165.7132578125
124,36,4,173,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
125,37,4,174,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
126,27,4,176,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
127,32,4,177,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
128,33,4,178,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
129,34,4,179,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
130,35,4,181,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
131,36,4,182,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
132,37,4,183,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
133,27,4,185,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
134,33,4,186,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
135,34,4,187,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
136,33,4,188,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
137,34,4,189,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
138,34,4,190,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
139,27,4,191,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
140,37,4,192,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
141,36,4,193,0,0,0,0,0,0,0,0,0,0,,45165.7132595486
142,36,4,194,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
143,38,4,195,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
144,39,4,197,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
145,40,4,198,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
146,41,4,199,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
147,42,4,200,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
148,43,4,202,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
149,44,4,204,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
150,45,4,206,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
151,46,4,207,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
152,47,4,209,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
153,36,4,210,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
154,47,4,211,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
155,38,4,212,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
156,40,4,214,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
157,42,4,215,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
158,43,4,216,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
159,43,4,219,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
160,40,4,220,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
161,38,4,222,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
162,38,4,223,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
163,47,4,224,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
164,36,4,225,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
165,42,4,228,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
166,42,4,229,0,0,0,0,0,0,0,0,0,0,,45165.7132660532
167,25,4,230,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
168,13,4,231,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
169,48,4,232,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
170,49,4,235,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
171,50,4,236,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
172,51,4,238,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
173,52,4,239,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
174,53,4,242,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
175,48,4,245,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
176,47,4,246,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
177,36,4,247,0,0,0,0,0,0,0,0,0,0,,45165.7132688194
