LinkID,LinkType,rmID,anID,Modified,anVersion,anDate,Status,UTCModDate
124,0,117,38173637492:1030:68081704,0,E0D0E1ED07187CE23D5762E410342285,0.0,0,45165.7132227431
125,0,118,38173637493:1030:68081704,0,EAB38181AEA563FC8DB607D28DECEF0B,0.0,0,45165.7132227431
126,0,119,38173637494:1030:68081704,0,67955DD66ED28BB0EF0D5D84FBCD9AA8,0.0,0,45165.7132229282
127,0,120,38173637495:1030:68081704,0,75CF613A537A0EB7C8A663D636816105,0.0,0,45165.7132229282
128,0,121,38173637496:1030:68081704,0,C23FDFEA02E351A3092D1A9A3B346DE6,0.0,0,45165.713223287
129,0,122,38173637497:1030:68081704,0,B1983ED367BD7B2C21E8BCB0EE82FCC4,0.0,0,45165.7132234722
130,0,123,38173637498:1030:68081704,0,362FF5BA997200A8FBD0D9489D2990AF,0.0,0,45165.7132234722
131,0,124,38173637499:1030:68081704,0,C2B6BA42F84F6FA59DA0147EB7D1F0EF,0.0,0,45165.7132236574
132,0,125,38173637500:1030:68081704,0,630E20297C265BEF57B2EA654D8142BC,0.0,0,45165.7132236574
133,0,126,38173637501:1030:68081704,0,645D3270BC5C79F9410671587415B309,0.0,0,45165.713223831
134,0,127,38173637502:1030:68081704,0,FE508770E8ADB1BF9837B51360B151BB,0.0,0,45165.713223831
135,0,128,38173637503:1030:68081704,0,DEC9046CC7A2A5D1CF043D9A8AE47D57,0.0,0,45165.7132240162
136,0,129,38173637504:1030:68081704,0,C2848C3E51DBB28D0F4AA8A2C54DDAE5,0.0,0,45165.7132240162
137,0,130,38173637505:1030:68081704,0,0D191EA0D078A4CDC8A2A5B13F469DDA,0.0,0,45165.7132241898
138,0,131,38173637506:1030:68081704,0,2453A30012D406287AC1CC5549147831,0.0,0,45165.713224375
139,0,132,38173637507:1030:68081704,0,E49AA05011FDCBCE91845FF896634DD6,0.0,0,45165.713224375
140,0,133,38173637508:1030:68081704,0,ECB4EFC3B400F5E7C8603DDF16114816,0.0,0,45165.7132245602
141,0,134,38173637509:1030:68081704,0,7822CDE704E0BEFE09044C90871982FE,0.0,0,45165.7132247338
142,0,135,38173637510:1030:68081704,0,7A01BEE597605BFF80095D67604DB273,0.0,0,45165.713224919
143,0,136,38173637511:1030:68081704,0,4F7DFF1702D03CC679F4AE2C71B29072,0.0,0,45165.713224919
144,0,137,38173637512:1030:68081704,0,6A5C1B9A38720962BB28643F8FA884DA,0.0,0,45165.7132251042
145,0,138,38173637513:1030:68081704,0,B4D791FF201AE4B1AF1D74D80D88E6E0,0.0,0,45165.7132251042
146,0,139,38173637514:1030:68081704,0,7C514A2B78B02E51E82FB9ACD9B1CB19,0.0,0,45165.7132252778
147,0,140,38173637515:1030:68081704,0,BDDAEA63C7737F677D48990F87B5DB0D,0.0,0,45165.713225463
148,0,141,38173637516:1030:68081704,0,6AB0693E5D9AB68489B82BCE681EEDCB,0.0,0,45165.713225463
149,0,142,38173637517:1030:68081704,0,FE206F55917330AE84D12E81DACEC9E3,0.0,0,45165.7132256366
150,0,143,38173637518:1030:68081704,0,BF098918B5515B568CCD1595CEC3EB76,0.0,0,45165.7132257639
151,0,144,38173637519:1030:68081704,0,46A55958BECCC24942A90AA607CC8189,0.0,0,45165.7132258681
152,0,145,38173637520:1030:68081704,0,1C82F07F8E773EFEB7D4F4FAD42245F6,0.0,0,45165.7132259491
153,0,146,38173637521:1030:68081704,0,7E93037D340BF4E898AF3B1A775ECDE5,0.0,0,45165.7132260417
154,0,147,38173637522:1030:68081704,0,0FD0A1522ED7A3AF37D4D5C7D732C28C,0.0,0,45165.7132261227
155,0,148,38173637523:1030:68081704,0,1354F72C7DF335FF3595DE58B5E9C1A2,0.0,0,45165.7132261921
156,0,149,38173637370:1030:68081704,0,CAC943A574FD98604101A3D798F80015,0.0,0,45165.713226412
157,0,150,38173637371:1030:68081704,0,F19D1AA10DF506A43733FBFBCE9679CB,0.0,0,45165.7132265278
158,0,151,38173637372:1030:68081704,0,268A8D11A1C8153591A355444BD33205,0.0,0,45165.7132266667
159,0,152,38173637374:1030:68081704,0,1FB1802C60EDE205C6DBC81A38818DD2,0.0,0,45165.7132268171
160,0,153,38173637375:1030:68081704,0,BE3E16CDA7CB04C12A5C2F1E59FE6C4E,0.0,0,45165.7132268866
161,0,154,38173637376:1030:68081704,0,9E41B9C93AB9F0322C5ECF550928D5C9,0.0,0,45165.7132271875
162,0,155,38173637377:1030:68081704,0,1F73730E9DB8FC3AAF99397E45E79D05,0.0,0,45165.7132273727
163,0,156,38173637378:1030:68081704,0,A80AC9EA733822FAD20F5CCAE74C4471,0.0,0,45165.7132274537
164,0,157,38173637379:1030:68081704,0,9E12D1D24C7A2570958E4ECEDF3E12E8,0.0,0,45165.7132275347
165,0,158,38173637380:1030:68081704,0,82C9C71D486D3DA9E0B6B8890B538696,0.0,0,45165.7132277662
166,0,159,38173637381:1030:68081704,0,859B91F573D836D1160A24E13D289CD0,0.0,0,45165.7132278704
167,0,160,38173637382:1030:68081704,0,71969E796EE7AFD9D6A7EBF2B64644F8,0.0,0,45165.713227963
168,0,161,38173637383:1030:68081704,0,88434623DE863EC8FF77CD4F7B2FE6B8,0.0,0,45165.7132280787
169,0,162,38173637384:1030:68081704,0,31EEDC82C87633DE7724E8C2619C5C8E,0.0,0,45165.7132281597
170,0,163,38173637385:1030:68081704,0,63128DBB4884EA9237A4DF85FB2C4052,0.0,0,45165.7132285185
171,0,164,38173637386:1030:68081704,0,7D9BFBCDC4971BBE15C1618CAD301DBF,0.0,0,45165.713228669
172,0,165,38173637387:1030:68081704,0,9C92608E579F5008DC3D0613B35DF749,0.0,0,45165.7132287269
173,0,166,38173637388:1030:68081704,0,54FE4BD5325461F192254DAC3A8B251B,0.0,0,45165.7132290509
174,0,167,38173637389:1030:68081704,0,E92151D33C64D25708DD1FEE0B3A5CB3,0.0,0,45165.7132292014
175,0,168,38173637390:1030:68081704,0,056AF524FE1EE4FCF74D12BBCDD93304,0.0,0,45165.7132294792
176,0,169,38173637391:1030:68081704,0,F986B5DE9CCF1F4B8163BD2579A8FFE2,0.0,0,45165.7132296065
177,0,170,38173637392:1030:68081704,0,E05ED27F74A8E2C563C289E898F780B6,0.0,0,45165.713229919
178,0,171,38173637393:1030:68081704,0,ABD63B2886EB86762ACBE2D479EA524A,0.0,0,45165.7132300926
179,0,172,38173637394:1030:68081704,0,93B2CD4DA741CA89E1818DA0B9551DE5,0.0,0,45165.7132303472
180,0,173,38173637395:1030:68081704,0,5D2DAC371410434A7146E80B5A177F57,0.0,0,45165.7132304051
181,0,174,38173637396:1030:68081704,0,9D7A88EAD59486841B667695AE2B6D1A,0.0,0,45165.713230463
182,0,175,38173637397:1030:68081704,0,68E68D36EF26CF79F6A8DE4D5557E0FE,0.0,0,45165.7132307407
183,0,176,38173637398:1030:68081704,0,9B294B4018938A3A24BCE4DB90E67309,0.0,0,45165.7132308449
184,0,177,38173637399:1030:68081704,0,8D726D081402ED8BA9D9286A25E6A99E,0.0,0,45165.7132309375
185,0,178,38173637400:1030:68081704,0,589107EE89BA7E6E0280E52BBDB687D5,0.0,0,45165.7132311458
186,0,179,38173637401:1030:68081704,0,CB6674F7EE89DCF19523FF01C87AC5E7,0.0,0,45165.71323125
187,0,180,38173637402:1030:68081704,0,445190AFC5701672A3E818E5E9E4B14B,0.0,0,45165.7132314352
188,0,181,38173637403:1030:68081704,0,43B8B34B89ADD1EAE17E95198429ECA6,0.0,0,45165.7132315394
189,0,182,38173637404:1030:68081704,0,6AF75B8CFCCAFC2A937D8974B61E7278,0.0,0,45165.7132316319
190,0,183,38173637405:1030:68081704,0,33F8D3816DEEA1B42B008E497B335CFC,0.0,0,45165.7132318056
191,0,184,38173637406:1030:68081704,0,C3ADE2C175FEB377462C32B46407F92E,0.0,0,45165.7132318981
192,0,185,38173637407:1030:68081704,0,73EE3BC5E388D2840C80181E9857B5DB,0.0,0,45165.7132320949
193,0,186,38173637408:1030:68081704,0,B153A6754CBD8F1BAB5365ED60C8DE2A,0.0,0,45165.7132322338
194,0,187,38173637409:1030:68081704,0,101960A219C9E27A09F7C753EEA6194E,0.0,0,45165.7132322685
195,0,188,38173637410:1030:68081704,0,B590154A4F24BAA935D442860C3A272B,0.0,0,45165.7132322685
196,0,189,38173637411:1030:68081704,0,DF15DEFBF906342A6B537AF0F714D3B2,0.0,0,45165.7132324537
197,0,190,38173637412:1030:68081704,0,EBB4EC26212C2F823D22042D7CADB54F,0.0,0,45165.7132326389
198,0,191,38173637413:1030:68081704,0,DFAD871E6888FF74B9A6088326E821B6,0.0,0,45165.7132328125
199,0,192,38173637414:1030:68081704,0,187D1A45017A1D95E2CF4841FD24F158,0.0,0,45165.7132328125
200,0,193,38173637415:1030:68081704,0,6485C5AD306C69BF2688DBEB75E5AA3A,0.0,0,45165.7132333565
201,11,2,4240571-00060,0,,0.0,0,45165.713235162
202,4,7,27006465:6742,0,,0.0,0,45165.713235162
203,11,3,45232_354171-01717,0,,0.0,0,45165.713235162
204,4,8,752229825:60716,0,,0.0,0,45165.713235162
205,4,9,20738570:60525,0,,0.0,0,45165.713235162
206,4,10,441336:7834,0,,0.0,0,45165.713235162
207,11,4,4263298_00215,0,,0.0,0,45165.713235162
208,4,11,41484090:7163,0,,0.0,0,45165.713235162
209,11,5,4118577_00109,0,,0.0,0,45165.713235162
210,4,12,12972262:7602,0,,0.0,0,45165.713235162
211,11,6,11590494,0,,0.0,0,45165.713235162
212,4,13,639290969:2469,0,,0.0,0,45165.713235162
213,4,14,1658685:5059,0,,0.0,0,45165.713235162
214,4,15,9944401:60282,0,,0.0,0,45165.713235162
215,4,16,542309462765:9000:68081704,0,,0.0,0,45165.713235162
216,11,7,44494_349999-00099,0,,0.0,0,45165.713235162
217,4,17,3603467:60716,0,,0.0,0,45165.713235162
218,11,8,31111_4328233-00267,0,,0.0,0,45165.713235162
219,4,18,141249416:7884,0,,0.0,0,45165.713235162
220,11,9,4215009_00101,0,,0.0,0,45165.713235162
221,4,19,1357:7667,0,,0.0,0,45165.713235162
222,11,10,NYM237_85-0048,0,,0.0,0,45165.713235162
223,4,20,1023647339:7488,0,,0.0,0,45165.713235162
224,4,21,1023647339:7488,0,,0.0,0,45165.713235162
225,4,22,1357:7667,0,,0.0,0,45165.713235162
226,4,23,27006465:6742,0,,0.0,0,45165.713235162
227,4,24,20738570:60525,0,,0.0,0,45165.713235162
228,4,25,441336:7834,0,,0.0,0,45165.713235162
229,4,26,41484090:7163,0,,0.0,0,45165.713235162
230,4,27,12972262:7602,0,,0.0,0,45165.713235162
231,4,28,542309462182:9000:68081704,0,,0.0,0,45165.713235162
232,4,29,542309462765:9000:68081704,0,,0.0,0,45165.713235162
233,4,30,3603467:60716,0,,0.0,0,45165.713235162
234,4,31,141249416:7884,0,,0.0,0,45165.713235162
235,4,32,141249416:7884,0,,0.0,0,45165.713235162
236,4,33,141249416:7884,0,,0.0,0,45165.713235162
237,4,34,20738570:60525,0,,0.0,0,45165.713235162
238,4,35,441336:7834,0,,0.0,0,45165.713235162
239,4,36,3603467:60716,0,,0.0,0,45165.713235162
240,4,37,639290969:2469,0,,0.0,0,45165.713235162
241,4,38,12972262:7602,0,,0.0,0,45165.713235162
242,4,39,41484090:7163,0,,0.0,0,45165.713235162
243,4,40,27006465:6742,0,,0.0,0,45165.713235162
244,4,41,1023647339:7488,0,,0.0,0,45165.713235162
245,4,42,542309462765:9000:68081704,0,,0.0,0,45165.713235162
246,4,43,1023647339:7488,0,,0.0,0,45165.713235162
247,4,44,542309462765:9000:68081704,0,,0.0,0,45165.713235162
248,4,45,1023647339:7488,0,,0.0,0,45165.713235162
